fill,delivered (/fb),recorded (/fb),integrated delivered (/fb),integrated recorded (/fb)
6663,0.14190385937500002,0.13732498437500001,6.836530311630251,6.44534607185364
6666,0.50129053125,0.46526818750000004,7.337820842880252,6.910614259353641
6672,0.259589859375,0.24620221875,7.597410702255251,7.15681647810364
6674,0.5544622500000002,0.524653875,8.151872952255252,7.681470353103641
6675,0.5976831875,0.57015225,8.749556139755251,8.251622603103641
6677,0.5757688750000001,0.5417745625,9.32532501475525,8.793397165603642
6681,0.5524519375,0.5272328125000001,9.877776952255251,9.320629978103641
6683,0.032318880859375,0.029533097656250003,9.910095833114626,9.350163075759891
6688,0.0938363125,0.08668284375,10.003932145614627,9.43684591950989
6690,0.20432682812500003,0.18530703125,10.208258973739627,9.62215295075989
6692,0.0045843588867190005,4.588030000000001e-09,10.212843332626345,9.62215295534792
6693,0.34261240625,0.326858625,10.555455738876345,9.94901158034792
6694,0.39635831250000003,0.38181465625000005,10.951814051376346,10.33082623659792
6696,0.40209596875000003,0.38867900000000005,11.353910020126346,10.71950523659792
6699,0.000587401672363,0.0005745114746090001,11.354497421798708,10.720079748072529
6700,0.4929605,0.47859996875000005,11.847457921798709,11.198679716822529
6702,0.189462640625,0.18328364062500002,12.03692056242371,11.381963357447528
6706,0.0838113203125,0.0796798828125,12.12073188273621,11.461643240260027
6709,0.43658434375000005,0.40431071875,12.557316226486211,11.865953959010028
6710,0.3838404375,0.35494690625,12.941156663986211,12.220900865260028
6711,0.49057868750000005,0.43774153125000004,13.43173535148621,12.658642396510027
6712,0.45629590625000005,0.43976768750000006,13.88803125773621,13.098410084010027
6714,0.5582090625,0.5405373125,14.44624032023621,13.638947396510027
6719,0.39057540625000003,0.35526100000000005,14.836815726486211,13.994208396510027
6724,0.045030171875000004,0.043360867187500006,14.881845898361211,14.037569263697527
6729,0.49502406250000003,0.47703640625000004,15.376869960861212,14.514605669947528
6731,0.17251560937500002,0.166957796875,15.549385570236213,14.681563466822528
6733,0.2727610625,0.25610148437499997,15.822146632736214,14.937664951197528
6737,0.008865440429688001,0.008117286621094,15.831012073165901,14.945782237818621
6738,0.49675481250000003,0.464870875,16.327766885665902,15.410653112818622
6741,0.407910875,0.39207559375,16.7356777606659,15.802728706568622
6744,0.18185814062500003,0.170618765625,16.9175359012909,15.973347472193623
6747,0.067536140625,0.06499956640625,16.9850720419159,16.038347038599873
6749,0.5417127500000001,0.50070246875,17.526784791915897,16.539049507349873
6751,0.5188130000000001,0.49776275000000003,18.0455977919159,17.036812257349872
6752,0.23444417187500002,0.21683381250000003,18.2800419637909,17.25364606984987
6755,0.05466604296875,0.04571841015625001,18.33470800675965,17.299364480006123
6757,0.5008868125,0.4830685625,18.83559481925965,17.782433042506124
6759,0.500609125,0.47566865625000004,19.33620394425965,18.258101698756125
6761,0.43895290625000005,0.39341859375000005,19.775156850509653,18.651520292506124
6762,0.35886465625,0.34067959375,20.13402150675965,18.992199886256124
6763,0.44901256250000005,0.43469087500000003,20.58303406925965,19.426890761256125
6768,0.1121903828125,0.10800654687500001,20.69522445207215,19.534897308131125
6770,0.5272495625,0.51002515625,21.22247401457215,20.044922464381123
6772,0.5292694375,0.5090550625,21.751743452072148,20.553977526881123
6773,0.48721621875000004,0.4647835625,22.238959670822148,21.018761089381123
6774,0.5434086250000001,0.5247830625000001,22.78236829582215,21.54354415188112
6776,0.11871724218750002,0.1141226640625,22.90108553800965,21.65766681594362
6778,0.23194654687500002,0.222779328125,23.13303208488465,21.88044614406862
6843,8.2746681213e-05,7.6431358337e-05,23.133114831565862,21.88052257542696
6847,0.016544755859375003,0.012438584960938,23.149659587425237,21.892961160387898
6850,0.046403847656250004,0.03981208984375,23.196063435081488,21.932773250231648
6854,0.07647890625,0.0678152890625,23.272542341331487,22.00058853929415
6858,0.013853109375,0.013316836914063001,23.286395450706486,22.01390537620821
6860,0.39997312500000004,0.3804694375,23.686368575706485,22.39437481370821
6864,0.00016064144897500002,0.00015616264343300002,23.68652921715546,22.394530976351643
6868,0.000437270050049,0.00024391485595700002,23.68696648720551,22.3947748912076
6874,0.017041837890625,0.016393148437499998,23.704008325096133,22.4111680396451
6877,2.7971971512000002e-05,2.0726131439e-05,23.704036297067645,22.41118876577654
6879,8.1716064453e-05,7.885861206100001e-05,23.7041180131321,22.4112676243886
6881,0.00039211849975600004,0.000376738922119,23.704510131631856,22.411644363310717
6882,0.0007693112792970001,0.000738184509277,23.705279442911152,22.412382547819995
6884,9.9249725342e-05,9.569682312e-05,23.705378692636494,22.412478244643115
6885,0.000183182479858,0.000175638824463,23.705561875116352,22.412653883467577
6890,0.002386532714844,0.0020922189941410003,23.707948407831196,22.414746102461717
6891,0.0008664340209960001,0.000810858825684,23.708814841852192,22.4155569612874
6892,0.0013094250488280001,0.0012311452636720001,23.71012426690102,22.416788106551074
6901,0.22971568750000002,0.22452248437500003,23.93983995440102,22.641310590926075
6904,0.2766401875000001,0.24978428125000002,24.21648014190102,22.891094872176076
6909,0.60248475,0.5671178125,24.818964891901018,23.458212684676077
6911,0.15946490625,0.11701664843750001,24.97842979815102,23.575229333113576
6912,0.6132498125000001,0.5755388125,25.59167961065102,24.150768145613576
6913,0.00031834616088900004,5.1563117981000004e-05,25.59199795681191,24.150819708731557
6919,0.7938463125,0.77078175,26.38584426931191,24.92160145873156
6921,0.070598671875,0.06826522656250002,26.45644294118691,24.989866685294057
6923,0.405403375,0.3917883125,26.86184631618691,25.381654997794058
6924,0.23395309375,0.21530190625,27.09579940993691,25.59695690404406
6925,0.0953680625,0.09185083593750001,27.19116747243691,25.68880773998156
6927,0.017144955078125003,0.016472490234375005,27.208312427515033,25.705280230215934
6929,0.1001099453125,0.0958061796875,27.308422372827533,25.801086409903434
6931,0.486257625,0.46989850000000005,27.794679997827533,26.270984909903433
6939,0.07220751562500001,0.069481765625,27.866887513452532,26.340466675528432
6940,0.34227521875000005,0.30990196875000003,28.209162732202532,26.650368644278434
6942,0.45420115625,0.4253575625,28.663363888452533,27.075726206778434
6944,0.1149898359375,0.1078872109375,28.778353724390033,27.183613417715932
6946,0.0656431953125,0.06375742187500001,28.843996919702533,27.247370839590932
6953,0.5293486875000001,0.508697375,29.373345607202534,27.756068214590933
6956,0.4543181875,0.39937590625,29.827663794702534,28.155444120840933
6957,0.308560375,0.29262021875000005,30.136224169702533,28.448064339590932
6960,0.40800615625000003,0.38759659375000005,30.544230325952533,28.835660933340932
6961,0.42451512500000005,0.38633840625000004,30.968745450952532,29.221999339590933
6966,0.00021610494995100003,0.0,30.968961555902485,29.221999339590933
6998,3.6223907471000005e-05,3.3117660522000005e-05,30.968997779809957,29.222032457251455
7003,0.000162932220459,0.00015575050354000002,30.969160712030416,29.222188207754996
7005,0.09890486718750001,0.09670837500000001,31.068065579217915,29.318896582754995
7006,0.15631675,0.15107603125000002,31.224382329217914,29.469972614004995
7008,0.069475671875,0.06703921093750001,31.293858001092914,29.537011824942496
7013,0.11685784375000001,0.112640109375,31.410715844842915,29.649651934317497
7017,0.43256512500000005,0.41034668750000003,31.843280969842915,30.059998621817495
7018,0.45257128125,0.43499228125000006,32.29585225109292,30.494990903067496
7020,0.2904028125,0.27148446875000004,32.586255063592915,30.766475371817496
7024,0.44183396875000003,0.41472593750000003,33.02808903234291,31.181201309317494
7026,0.148129125,0.14146665625000002,33.17621815734291,31.322667965567494
7031,0.5065491875,0.48578362500000005,33.68276734484291,31.808451590567493
7033,0.35756596875,0.34056059375000003,34.04033331359291,32.14901218431749
7035,0.0389918671875,0.03768520703125,34.07932518078041,32.186697391348744
7036,0.07804056250000001,0.072491125,34.15736574328041,32.25918851634874
7037,0.45368428125000004,0.42162728125000004,34.61105002453041,32.68081579759874
7039,0.47382093750000004,0.45138265625,35.08487096203041,33.13219845384874
7040,0.39540134375,0.37919903125000004,35.48027230578041,33.51139748509874
7042,0.5144878125000001,0.46903190625,35.99476011828041,33.98042939134874
7043,0.31460987500000004,0.274950375,36.30936999328041,34.255379766348746
7045,0.45840600000000004,0.44491143750000006,36.76777599328041,34.70029120384875
7047,0.37176809375000003,0.3230949375,37.13954408703041,35.02338614134875
7048,0.21458921875,0.199814796875,37.35413330578041,35.223200938223755
7052,0.5002546875,0.47902312500000005,37.85438799328041,35.70222406322375
7053,0.32285371875,0.2804197500000001,38.17724171203041,35.98264381322375
7054,0.010007037109375,0.006986116699219001,38.18724874913978,35.98962992992297
7055,0.41159003125000004,0.36481131250000004,38.598838780389784,36.35444124242297
7056,0.7540345,0.7190636250000001,39.35287328038979,37.07350486742297
7058,0.5233606562500001,0.47771918750000003,39.876233936639785,37.55122405492297
7061,0.5721725625,0.5499034375,40.448406499139786,38.10112749242297
7063,0.47263728125000004,0.4427494375,40.92104378038979,38.543876929922966
7065,0.5354105,0.5137566250000001,41.456454280389785,39.057633554922965
7069,0.50068671875,0.48338181250000006,41.95714099913979,39.541015367422965
