fill_number,start_stable_beam,end_stable_beam
8550,2023-04-07 13:13:35.000000,2023-04-07 23:16:09.000000
8558,2023-04-09 07:00:26.000000,2023-04-09 08:01:13.000000
8559,2023-04-09 09:08:05.000000,2023-04-09 14:59:40.000000
8580,2023-04-13 02:31:35.000000,2023-04-13 06:28:50.000000
8637,2023-04-21 16:58:01.000000,2023-04-22 00:31:53.000000
8639,2023-04-22 03:35:06.000000,2023-04-22 15:10:13.000000
8642,2023-04-22 20:28:56.000000,2023-04-23 05:18:24.000000
8644,2023-04-23 11:49:15.000000,2023-04-23 22:25:15.000000
8645,2023-04-24 00:31:55.000000,2023-04-24 11:11:25.000000
8654,2023-04-25 01:42:08.000000,2023-04-25 02:39:58.000000
8675,2023-04-27 21:50:16.000000,2023-04-28 03:09:18.000000
8685,2023-04-29 07:43:19.000000,2023-04-29 15:52:31.000000
8686,2023-04-29 18:16:31.000000,2023-04-30 03:01:15.000000
8690,2023-04-30 08:55:39.000000,2023-04-30 16:19:11.000000
8691,2023-04-30 18:24:02.000000,2023-04-30 22:10:58.000000
8692,2023-05-01 01:01:52.000000,2023-05-01 01:57:31.000000
8695,2023-05-01 11:19:44.000000,2023-05-01 19:19:17.000000
8696,2023-05-01 22:15:09.000000,2023-05-02 09:43:23.000000
8701,2023-05-03 00:55:26.000000,2023-05-03 08:31:09.000000
8723,2023-05-05 11:38:10.000000,2023-05-05 16:53:25.000000
8724,2023-05-05 20:58:14.000000,2023-05-06 00:13:58.000000
8725,2023-05-06 03:50:48.000000,2023-05-06 08:31:11.000000
8728,2023-05-06 11:22:16.000000,2023-05-06 15:08:24.000000
8729,2023-05-06 18:08:38.000000,2023-05-07 04:32:01.000000
8730,2023-05-07 07:23:23.000000,2023-05-07 18:41:33.000000
8731,2023-05-07 20:41:47.000000,2023-05-08 04:05:41.000000
8736,2023-05-08 21:45:37.000000,2023-05-09 09:52:11.000000
8738,2023-05-09 16:05:53.000000,2023-05-10 01:03:08.000000
8739,2023-05-10 03:36:26.000000,2023-05-10 13:02:58.000000
8741,2023-05-10 19:22:59.000000,2023-05-11 02:58:50.000000
8746,2023-05-11 09:39:49.000000,2023-05-11 19:44:44.000000
8750,2023-05-12 01:29:43.000000,2023-05-12 01:32:14.000000
8754,2023-05-12 14:37:24.000000,2023-05-13 04:04:41.000000
8771,2023-05-14 10:32:23.000000,2023-05-14 22:51:05.000000
8773,2023-05-15 05:37:23.000000,2023-05-15 17:51:17.000000
8775,2023-05-15 22:20:44.000000,2023-05-16 04:41:19.000000
8778,2023-05-16 12:45:56.000000,2023-05-16 18:51:56.000000
8782,2023-05-17 02:48:27.000000,2023-05-17 12:06:46.000000
8786,2023-05-18 12:44:49.000000,2023-05-19 04:15:57.000000
8794,2023-05-19 17:39:36.000000,2023-05-19 21:03:06.000000
8796,2023-05-20 03:15:40.000000,2023-05-20 05:54:12.000000
8804,2023-05-21 03:46:27.000000,2023-05-21 08:26:08.000000
8807,2023-05-21 14:38:57.000000,2023-05-21 16:19:48.000000
8811,2023-05-22 02:54:21.000000,2023-05-22 03:58:43.000000
8816,2023-05-22 17:57:47.000000,2023-05-22 20:54:17.000000
8817,2023-05-23 00:05:43.000000,2023-05-23 12:51:34.000000
8821,2023-05-23 23:37:10.000000,2023-05-24 14:07:42.000000
8822,2023-05-24 17:31:50.000000,2023-05-25 05:34:48.000000
8850,2023-05-30 17:28:00.000000,2023-05-30 20:46:32.000000
8853,2023-05-31 00:14:17.000000,2023-05-31 03:39:23.000000
8858,2023-06-01 13:07:00.000000,2023-06-01 19:05:29.000000
8860,2023-06-01 22:03:49.000000,2023-06-02 08:19:37.000000
8863,2023-06-02 16:01:52.000000,2023-06-02 21:32:55.000000
8865,2023-06-03 00:21:05.000000,2023-06-03 11:00:04.000000
8866,2023-06-03 12:49:21.000000,2023-06-03 14:20:51.000000
8870,2023-06-03 23:48:07.000000,2023-06-04 10:04:30.000000
8872,2023-06-04 14:13:41.000000,2023-06-04 17:19:02.000000
8873,2023-06-04 19:23:30.000000,2023-06-05 08:02:35.000000
8877,2023-06-05 13:05:21.000000,2023-06-05 23:08:15.000000
8880,2023-06-06 03:46:56.000000,2023-06-06 19:50:17.000000
8882,2023-06-06 22:34:46.000000,2023-06-07 09:13:55.000000
8885,2023-06-08 00:27:55.000000,2023-06-08 11:39:16.000000
8887,2023-06-08 21:30:50.000000,2023-06-09 02:30:42.000000
